index,id,lat,lon
180,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMjozOjU0,52.500854,13.283931
181,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwMjozOjU1,52.500811,13.283790
182,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwNjoxOjUw,52.507703,13.283556
183,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDEwNjoxOjUx,52.507739,13.283409
184,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDIwMTo6MQ,52.511540,13.305122
185,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDIwMTo6Mg,52.511478,13.305142
186,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDIwMTo6Mw,52.511500,13.305095
187,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDIwMTo6NA,52.511515,13.305258
188,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDIwMjo6MQ,52.506353,13.306655
189,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDIwMjo6Mg,52.506367,13.306833
190,U3RvcDoxOmRlOjExMDAwOjkwMDAyNDIwMzoxOjUx,52.505117,13.319066
191,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTIwMjo6Mg,52.525594,13.241270
192,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTIwMzo6MQ,52.516957,13.250669
193,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTIwMzo6Mg,52.516819,13.250453
194,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTIwMzo6Mw,52.516862,13.250543
195,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTMyMToxOjUw,52.511216,13.242843
196,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTMyMToxOjUx,52.511293,13.242806
197,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTMyMToyOjUy,52.511401,13.242749
198,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTMyMTozOjU0,52.511565,13.242684
199,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTMyMTo0OjU2,52.511727,13.242607
200,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTMyMTo1OjU5,52.511888,13.242534
201,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTQyMzoxOjUw,52.498568,13.270392
202,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTQyNDoxOjUw,52.510241,13.227488
203,U3RvcDoxOmRlOjExMDAwOjkwMDAyNTQyNDoxOjUx,52.510181,13.227421
